Recensement agricole 2020; ; 
Référentiel géographique : France  par Commune 2020; ; 
Code;Libellé;SAU moyenne en 2020;SAU moyenne en 2020 - estimation (*=oui)
02295;Étréaupont;63.4;
02296;Étreillers;93.9;
02297;Étrépilly;149.9;
02298;Étreux;91;
02299;Évergnicourt;144.8;
02302;Faverolles;202.3;
02303;Fayet;244.9;
02304;La Fère;486.8;
02305;Fère-en-Tardenois;185.4;
02306;La Ferté-Chevresis;124.8;
02307;La Ferté-Milon;373.6;
02308;Fesmy-le-Sart;35;
02309;Festieux;134;
02310;Fieulaine;150.5;
02311;Filain;418.4;
02312;La Flamengrie;66.4;
02313;Flavigny-le-Grand-et-Beaurain;116.4;
02315;Flavy-le-Martel;103.5;
02316;Fleury;N/A - division par 0;
02317;Fluquières;144.8;
02318;Folembray;6;
02319;Fonsomme;150.6;
02320;Fontaine-lès-Clercs;101.1;
02321;Fontaine-lès-Vervins;135.7;
02322;Fontaine-Notre-Dame;125.5;
02323;Fontaine-Uterte;96.6;
02324;Fontenelle;119.3;
02326;Fontenoy;198.1;
02327;Foreste;145.7;
02328;Fossoy;8.7;
02329;Fourdrain;N/A - division par 0;
02330;Francilly-Selency;58.7;
02331;Franqueville;58.8;
02332;Fresnes-en-Tardenois;307.9;
02333;Fresnes-sous-Coucy;16;
02334;Fresnoy-le-Grand;82.3;
02335;Fressancourt;37.6;
02336;Frières-Faillouël;138.6;
02337;Froidestrées;45.1;
02338;Froidmont-Cohartille;109.9;
02339;Gandelu;288.2;
02340;Gauchy;N/A - division par 0;
02341;Gercy;40.1;
02342;Gergny;88.7;
02343;Germaine;146;
02345;Gibercourt;136.1;
02346;Gizy;197.4;
02347;Gland;4.3;
02349;Goudelancourt-lès-Berrieux;233.1;
02350;Goudelancourt-lès-Pierrepont;138;
02351;Goussancourt;188.7;
02352;Gouy;118.4;
02353;Grandlup-et-Fay;186.8;
02354;Grandrieux;163;
02355;Gricourt;128.1;
02356;Grisolles;220;
02357;Gronard;133;
02358;Grougis;138.3;
02359;Grugies;789.2;
02360;Villeneuve-sur-Aisne;192.5;
02361;Guise;173.8;
02362;Guivry;117.1;
02363;Guny;89.6;
02364;Guyencourt;57.2;
02366;Hannapes;110.5;
02367;Happencourt;163;
02368;Haramont;88.5;
02369;Harcigny;131;
02370;Hargicourt;207.5;
02371;Harly;3.6;
02372;Hartennes-et-Taux;88.3;
02373;Hary;132.4;
02374;Lehaucourt;186.2;
02375;Hautevesnes;124.9;
02376;Hauteville;114.2;
02377;Haution;97.7;
02378;La Hérie;102.3;
02379;Le Hérie-la-Viéville;86.5;
02380;Hinacourt;73.9;
02381;Hirson;119.9;
02382;Holnon;115.8;
02383;Homblières;114.6;
02384;Houry;188.6;
02385;Housset;124.2;
02386;Iron;132.7;
02387;Itancourt;112.8;
02388;Iviers;156.8;
02389;Jaulgonne;2;
02390;Jeancourt;98.9;
02391;Jeantes;61.5;
02392;Joncourt;112.4;
02393;Jouaignes;186.9;
02395;Jumencourt;112.8;
02396;Jumigny;315.1;
02397;Jussy;117;
02398;Juvigny;180.2;
02399;Juvincourt-et-Damary;157.3;
02400;Laffaux;137.3;
02401;Laigny;91;
02402;Lanchy;99.7;
02403;Landifay-et-Bertaignemont;136.7;
02404;Landouzy-la-Cour;111.9;
02405;Landouzy-la-Ville;74.9;
02406;Landricourt;106.9;
02407;Laniscourt;132.2;
02408;Laon;150.6;
02409;Lappion;100.4;
02410;Largny-sur-Automne;112.1;
02411;Latilly;202.5;
02412;Launoy;160.8;
02413;Laval-en-Laonnois;1.7;
02414;Lavaqueresse;166.4;
02415;Laversine;311.4;
02416;Lemé;147.1;
02417;Lempire;17;
02418;Lerzy;69.7;
02419;Leschelle;102.2;*
02420;Lesdins;129.6;
02421;Lesges;206.8;
02422;Lesquielles-Saint-Germain;158.5;
